,work_year,experience_level,employment_type,salary,salary_currency,salary_in_usd,company_size,best_indication
44,2022,1,2,166000,10,166000,1,1.0
45,2022,1,2,159699,10,159699,1,1.0
46,2022,1,2,138938,10,138938,1,0.0
47,2022,3,2,76000,10,76000,2,0.0
48,2022,1,2,166700,10,166700,1,1.0
49,2022,1,2,119000,10,119000,1,0.0
50,2022,1,2,130000,10,130000,1,0.0
51,2022,1,2,100000,10,100000,1,0.0
52,2022,1,2,84000,30,104038,1,0.0
53,2022,1,2,75000,30,92891,1,0.0
54,2022,1,2,80000,10,80000,1,0.0
55,2022,1,2,52500,10,52500,1,0.0
56,2022,1,2,236000,10,236000,1,1.0
57,2022,1,2,182000,10,182000,1,1.0
58,2022,1,2,180000,10,180000,1,1.0
59,2022,1,2,140000,10,140000,1,0.0
60,2022,1,2,225000,10,225000,1,1.0
61,2022,1,2,156400,10,156400,1,1.0
62,2022,1,2,135000,10,135000,1,0.0
63,2022,1,2,100000,10,100000,1,0.0
64,2022,1,2,204500,10,204500,1,1.0
65,2022,1,2,142200,10,142200,1,0.0
66,2022,2,2,240000,10,240000,1,1.0
67,2022,3,1,125404,10,125404,0,0.0
68,2022,1,2,300000,10,300000,1,1.0
69,2022,1,2,130000,10,130000,1,0.0
70,2022,1,2,195000,10,195000,1,1.0
71,2022,1,2,175000,10,175000,1,1.0
72,2022,1,2,155000,10,155000,1,1.0
73,2022,1,2,110000,10,110000,1,0.0
74,2022,1,2,123000,10,123000,1,0.0
75,2022,1,2,92250,10,92250,1,0.0
